"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Female"	"F"	"#Parkinson disease (G20-G21)"	"GR113-051"	1	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Alzheimer disease (G30)"	"GR113-052"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	4824	40650234	11.9
	"< 1 year"	"0"	"Female"	"F"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	3590	40650234	8.8
	"< 1 year"	"0"	"Female"	"F"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	16	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Hypertensive heart disease (I11)"	"GR113-056"	4	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	155	40650234	0.4
	"< 1 year"	"0"	"Female"	"F"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	83	40650234	0.2
	"< 1 year"	"0"	"Female"	"F"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	21	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	51	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	3	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	48	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Other heart diseases (I26-I51)"	"GR113-064"	3415	40650234	8.4
	"< 1 year"	"0"	"Female"	"F"	"Acute and subacute endocarditis (I33)"	"GR113-065"	10	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	217	40650234	0.5
	"< 1 year"	"0"	"Female"	"F"	"Heart failure (I50)"	"GR113-067"	189	40650234	0.5
	"< 1 year"	"0"	"Female"	"F"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	2999	40650234	7.4
	"< 1 year"	"0"	"Female"	"F"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	18	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1060	40650234	2.6
	"< 1 year"	"0"	"Female"	"F"	"#Atherosclerosis (I70)"	"GR113-071"	32	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	124	40650234	0.3
	"< 1 year"	"0"	"Female"	"F"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	9	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	115	40650234	0.3
	"< 1 year"	"0"	"Female"	"F"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	257	40650234	0.6
	"< 1 year"	"0"	"Female"	"F"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	1965	40650234	4.8
	"< 1 year"	"0"	"Female"	"F"	"Influenza (J09-J11)"	"GR113-077"	170	40650234	0.4
	"< 1 year"	"0"	"Female"	"F"	"Pneumonia (J12-J18)"	"GR113-078"	1795	40650234	4.4
	"< 1 year"	"0"	"Female"	"F"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	378	40650234	0.9
	"< 1 year"	"0"	"Female"	"F"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	369	40650234	0.9
	"< 1 year"	"0"	"Female"	"F"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	9	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	224	40650234	0.6
	"< 1 year"	"0"	"Female"	"F"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	151	40650234	0.4
	"< 1 year"	"0"	"Female"	"F"	"Emphysema (J43)"	"GR113-084"	12	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Asthma (J45-J46)"	"GR113-085"	31	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	30	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"#Pneumoconioses and chemical effects (J60-J66,J68,U07.0)"	"GR113-087"	2	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	103	40650234	0.3
	"< 1 year"	"0"	"Female"	"F"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	2369	40650234	5.8
	"< 1 year"	"0"	"Female"	"F"	"#Peptic ulcer (K25-K28)"	"GR113-090"	12	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Diseases of appendix (K35-K38)"	"GR113-091"	24	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"#Hernia (K40-K46)"	"GR113-092"	221	40650234	0.5
	"< 1 year"	"0"	"Female"	"F"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	34	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Alcoholic liver disease (K70)"	"GR113-094"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	34	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	2	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	1080	40650234	2.7
	"< 1 year"	"0"	"Female"	"F"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	56	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	14	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Renal failure (N17-N19)"	"GR113-100"	1007	40650234	2.5
	"< 1 year"	"0"	"Female"	"F"	"Other disorders of kidney (N25,N27)"	"GR113-101"	3	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	34	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"#Hyperplasia of prostate (N40)"	"GR113-103"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	14	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	117274	40650234	288.5
	"< 1 year"	"0"	"Female"	"F"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	51792	40650234	127.4
	"< 1 year"	"0"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	27281	40650234	67.1
	"< 1 year"	"0"	"Female"	"F"	"All other diseases (Residual) "	"GR113-111"	8166	40650234	20.1
	"< 1 year"	"0"	"Female"	"F"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	10110	40650234	24.9
	"< 1 year"	"0"	"Female"	"F"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	1106	40650234	2.7
	"< 1 year"	"0"	"Female"	"F"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	1082	40650234	2.7
	"< 1 year"	"0"	"Female"	"F"	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	14	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	10	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	9004	40650234	22.1
	"< 1 year"	"0"	"Female"	"F"	"Falls (W00-W19)"	"GR113-118"	111	40650234	0.3
	"< 1 year"	"0"	"Female"	"F"	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	12	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	466	40650234	1.1
	"< 1 year"	"0"	"Female"	"F"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	263	40650234	0.6
	"< 1 year"	"0"	"Female"	"F"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	116	40650234	0.3
	"< 1 year"	"0"	"Female"	"F"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	8036	40650234	19.8
	"< 1 year"	"0"	"Female"	"F"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	2743	40650234	6.7
	"< 1 year"	"0"	"Female"	"F"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	79	40650234	0.2
	"< 1 year"	"0"	"Female"	"F"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	2664	40650234	6.6
	"< 1 year"	"0"	"Female"	"F"	"#Legal intervention (Y35,Y89.0)"	"GR113-130"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	798	40650234	2.0
	"< 1 year"	"0"	"Female"	"F"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	1	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	797	40650234	2.0
	"< 1 year"	"0"	"Female"	"F"	"#Operations of war and their sequelae (Y36,Y89.1)"	"GR113-134"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	175	40650234	0.4
	"< 1 year"	"0"	"Female"	"F"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	16	40650234	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"#Salmonella infections (A01-A02)"	"GR113-001"	22	42528512	0.1
	"< 1 year"	"0"	"Male"	"M"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	1	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	1544	42528512	3.6
	"< 1 year"	"0"	"Male"	"M"	"#Tuberculosis (A16-A19)"	"GR113-004"	5	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Respiratory tuberculosis (A16)"	"GR113-005"	4	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Other tuberculosis (A17-A19)"	"GR113-006"	1	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"#Whooping cough (A37)"	"GR113-007"	113	42528512	0.3
	"< 1 year"	"0"	"Male"	"M"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	0	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"#Meningococcal infection (A39)"	"GR113-009"	124	42528512	0.3
	"< 1 year"	"0"	"Male"	"M"	"#Septicemia (A40-A41)"	"GR113-010"	2631	42528512	6.2
	"< 1 year"	"0"	"Male"	"M"	"#Syphilis (A50-A53)"	"GR113-011"	13	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	1	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"#Measles (B05)"	"GR113-014"	0	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"#Viral hepatitis (B15-B19)"	"GR113-015"	11	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	43	42528512	0.1
	"< 1 year"	"0"	"Male"	"M"	"#Malaria (B50-B54)"	"GR113-017"	1	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	1847	42528512	4.3
	"< 1 year"	"0"	"Male"	"M"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	752	42528512	1.8
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	1	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	1	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	0	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	2	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	44	42528512	0.1
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	4	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	0	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	17	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant melanoma of skin (C43)"	"GR113-028"	2	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasm of breast (C50)"	"GR113-029"	3	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	0	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	0	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	0	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	1	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	24	42528512	0.1
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	2	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	165	42528512	0.4
	"< 1 year"	"0"	"Male"	"M"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	256	42528512	0.6
	"< 1 year"	"0"	"Male"	"M"	"Hodgkin disease (C81)"	"GR113-038"	0	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	9	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Leukemia (C91-C95)"	"GR113-040"	235	42528512	0.6
	"< 1 year"	"0"	"Male"	"M"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	1	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	11	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	230	42528512	0.5
	"< 1 year"	"0"	"Male"	"M"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	557	42528512	1.3
	"< 1 year"	"0"	"Male"	"M"	"#Anemias (D50-D64)"	"GR113-045"	168	42528512	0.4
	"< 1 year"	"0"	"Male"	"M"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	35	42528512	0.1
	"< 1 year"	"0"	"Male"	"M"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	100	42528512	0.2
	"< 1 year"	"0"	"Male"	"M"	"Malnutrition (E40-E46)"	"GR113-048"	76	42528512	0.2
	"< 1 year"	"0"	"Male"	"M"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	24	42528512	0.1
	"< 1 year"	"0"	"Male"	"M"	"#Meningitis (G00,G03)"	"GR113-050"	702	42528512	1.7
	"< 1 year"	"0"	"Male"	"M"	"#Parkinson disease (G20-G21)"	"GR113-051"	3	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"#Alzheimer disease (G30)"	"GR113-052"	0	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	5835	42528512	13.7
	"< 1 year"	"0"	"Male"	"M"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	4221	42528512	9.9
	"< 1 year"	"0"	"Male"	"M"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	35	42528512	0.1
	"< 1 year"	"0"	"Male"	"M"	"Hypertensive heart disease (I11)"	"GR113-056"	6	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	2	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	203	42528512	0.5
	"< 1 year"	"0"	"Male"	"M"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	100	42528512	0.2
	"< 1 year"	"0"	"Male"	"M"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	22	42528512	0.1
	"< 1 year"	"0"	"Male"	"M"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	81	42528512	0.2
	"< 1 year"	"0"	"Male"	"M"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	6	42528512	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	75	42528512	0.2
	"< 1 year"	"0"	"Male"	"M"	"Other heart diseases (I26-I51)"	"GR113-064"	3975	42528512	9.3
	"< 1 year"	"0"	"Male"	"M"	"Acute and subacute endocarditis (I33)"	"GR113-065"	21	42528512	0.0
	"< 1 year"	"0"	"Male"	"M"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	228	42528512	0.5
	"< 1 year"	"0"	"Male"	"M"	"Heart failure (I50)"	"GR113-067"	255	42528512	0.6
